Loading territory polygons ...
  39928 polygons, crs=EPSG:4326
[1/176] 201201: 11 points
[2/176] 201202: 13 points
[3/176] 201203: 15 points
[4/176] 201204: 7 points
[5/176] 201205: 36 points
[6/176] 201206: 37 points
[7/176] 201207: 17 points
[8/176] 201208: 38 points
[9/176] 201209: 29 points
[10/176] 201210: 62 points
[11/176] 201211: 147 points
[12/176] 201212: 372 points
[13/176] 201301: 17,357 points
[14/176] 201302: 18,165 points
[15/176] 201303: 21,812 points
[16/176] 201304: 29,215 points
[17/176] 201305: 31,414 points
[18/176] 201306: 31,757 points
[19/176] 201307: 63,852 points
[20/176] 201308: 58,702 points
[21/176] 201309: 60,142 points
[22/176] 201310: 66,151 points
[23/176] 201311: 54,554 points
[24/176] 201312: 45,574 points
[25/176] 201401: 54,959 points
[26/176] 201402: 52,415 points
[27/176] 201403: 60,054 points
[28/176] 201404: 67,985 points
[29/176] 201405: 67,186 points
[30/176] 201406: 68,699 points
[31/176] 201407: 110,846 points
[32/176] 201408: 105,754 points
[33/176] 201409: 103,830 points
[34/176] 201410: 116,109 points
[35/176] 201411: 95,904 points
[36/176] 201412: 78,789 points
[37/176] 201501: 123,230 points
[38/176] 201502: 126,323 points
[39/176] 201503: 150,084 points
[40/176] 201504: 149,264 points
[41/176] 201505: 140,844 points
[42/176] 201506: 133,901 points
[43/176] 201507: 132,621 points
[44/176] 201508: 115,045 points
[45/176] 201509: 123,761 points
[46/176] 201510: 120,928 points
[47/176] 201511: 115,665 points
[48/176] 201512: 97,107 points
[49/176] 201601: 123,057 points
[50/176] 201602: 144,894 points
[51/176] 201603: 162,960 points
[52/176] 201604: 143,469 points
[53/176] 201605: 146,347 points
[54/176] 201606: 139,866 points
[55/176] 201607: 133,956 points
[56/176] 201608: 163,987 points
[57/176] 201609: 142,003 points
[58/176] 201610: 125,691 points
[59/176] 201611: 123,423 points
[60/176] 201612: 93,810 points
[61/176] 201701: 117,314 points
[62/176] 201702: 126,231 points
[63/176] 201703: 153,083 points
[64/176] 201704: 131,968 points
[65/176] 201705: 140,090 points
[66/176] 201706: 128,908 points
[67/176] 201707: 118,635 points
[68/176] 201708: 130,492 points
[69/176] 201709: 116,115 points
[70/176] 201710: 125,395 points
[71/176] 201711: 120,041 points
[72/176] 201712: 86,438 points
[73/176] 201801: 134,601 points
[74/176] 201802: 125,146 points
[75/176] 201803: 139,511 points
[76/176] 201804: 133,750 points
[77/176] 201805: 133,243 points
[78/176] 201806: 126,758 points
