174 months: 201201 .. 202606
[2/174] 201202: 13 features (2 KiB)
[3/174] 201203: 15 features (3 KiB)
[4/174] 201204: 7 features (1 KiB)
[5/174] 201205: 36 features (7 KiB)
[6/174] 201206: 37 features (7 KiB)
[7/174] 201207: 17 features (3 KiB)
[8/174] 201208: 38 features (7 KiB)
[9/174] 201209: 29 features (5 KiB)
[10/174] 201210: 62 features (12 KiB)
[11/174] 201211: 147 features (29 KiB)
[12/174] 201212: 372 features (73 KiB)
[13/174] 201301: 17357 features (3448 KiB)
[14/174] 201302: 18165 features (3620 KiB)
[15/174] 201303: 21812 features (4345 KiB)
[16/174] 201304: 29215 features (5821 KiB)
[17/174] 201305: 31414 features (6261 KiB)
[18/174] 201306: 31757 features (6337 KiB)
[19/174] 201307: 63852 features (12814 KiB)
[20/174] 201308: 58702 features (11774 KiB)
[21/174] 201309: 60142 features (12066 KiB)
[22/174] 201310: 66151 features (13276 KiB)
[23/174] 201311: 54554 features (10943 KiB)
[24/174] 201312: 45574 features (9134 KiB)
[25/174] 201401: 54959 features (11025 KiB)
[26/174] 201402: 52415 features (10518 KiB)
[27/174] 201403: 60054 features (12051 KiB)
[28/174] 201404: 67985 features (13649 KiB)
[29/174] 201405: 67186 features (13488 KiB)
[30/174] 201406: 68699 features (13794 KiB)
[31/174] 201407: 110846 features (22283 KiB)
[32/174] 201408: 105754 features (21259 KiB)
[33/174] 201409: 103830 features (20871 KiB)
[34/174] 201410: 116109 features (23345 KiB)
[35/174] 201411: 95904 features (19276 KiB)
[36/174] 201412: 78789 features (15831 KiB)
[37/174] 201501: 123230 features (24774 KiB)
[38/174] 201502: 126323 features (25399 KiB)
[39/174] 201503: 150084 features (30180 KiB)
[40/174] 201504: 149264 features (30017 KiB)
[41/174] 201505: 140844 features (28321 KiB)
[42/174] 201506: 133901 features (26927 KiB)
[43/174] 201507: 132621 features (26668 KiB)
[44/174] 201508: 115045 features (23131 KiB)
[45/174] 201509: 123761 features (24881 KiB)
[46/174] 201510: 120928 features (24310 KiB)
[47/174] 201511: 115665 features (23247 KiB)
[48/174] 201512: 97107 features (19502 KiB)
[49/174] 201601: 123058 features (24712 KiB)
[50/174] 201602: 144894 features (29106 KiB)
[51/174] 201603: 162961 features (32745 KiB)
[52/174] 201604: 143469 features (28826 KiB)
[53/174] 201605: 146346 features (29403 KiB)
[54/174] 201606: 139866 features (28105 KiB)
[55/174] 201607: 133956 features (26916 KiB)
[56/174] 201608: 163987 features (32955 KiB)
[57/174] 201609: 142012 features (28534 KiB)
[58/174] 201610: 125693 features (25253 KiB)
[59/174] 201611: 123423 features (24797 KiB)
[60/174] 201612: 93810 features (18837 KiB)
[61/174] 201701: 117314 features (23570 KiB)
[62/174] 201702: 126231 features (25374 KiB)
[63/174] 201703: 153083 features (30774 KiB)
[64/174] 201704: 131968 features (26526 KiB)
[65/174] 201705: 140090 features (28162 KiB)
[66/174] 201706: 128908 features (25912 KiB)
[67/174] 201707: 118634 features (23850 KiB)
[68/174] 201708: 130492 features (26229 KiB)
[69/174] 201709: 116114 features (23338 KiB)
[70/174] 201710: 125395 features (25201 KiB)
[71/174] 201711: 120041 features (24127 KiB)
[72/174] 201712: 86438 features (17366 KiB)
[73/174] 201801: 134602 features (27056 KiB)
[74/174] 201802: 125146 features (25159 KiB)
[75/174] 201803: 139510 features (28149 KiB)
[76/174] 201804: 133750 features (27017 KiB)
[77/174] 201805: 133243 features (26912 KiB)
[78/174] 201806: 126757 features (25601 KiB)
[79/174] 201807: 123838 features (25008 KiB)
[80/174] 201808: 126272 features (25499 KiB)
[81/174] 201809: 114232 features (23065 KiB)
[82/174] 201810: 131725 features (26601 KiB)
[83/174] 201811: 120816 features (24398 KiB)
[84/174] 201812: 81763 features (16502 KiB)
[85/174] 201901: 123198 features (24883 KiB)
[86/174] 201902: 127882 features (25830 KiB)
[87/174] 201903: 135295 features (27322 KiB)
[88/174] 201904: 137299 features (27733 KiB)
[89/174] 201905: 127734 features (25798 KiB)
[90/174] 201906: 118301 features (23892 KiB)
[91/174] 201907: 125552 features (25350 KiB)
[92/174] 201908: 124496 features (25138 KiB)
[93/174] 201909: 114516 features (23119 KiB)
[94/174] 201910: 123555 features (24945 KiB)
[95/174] 201911: 111227 features (22454 KiB)
[96/174] 201912: 84786 features (17111 KiB)
[97/174] 202001: 124182 features (25073 KiB)
[98/174] 202002: 121023 features (24435 KiB)
[99/174] 202003: 74800 features (15097 KiB)
[100/174] 202004: 74880 features (15125 KiB)
[101/174] 202005: 95477 features (19281 KiB)
[102/174] 202006: 116454 features (23519 KiB)
[103/174] 202007: 118050 features (23836 KiB)
[104/174] 202008: 107651 features (21733 KiB)
[105/174] 202009: 102850 features (20761 KiB)
[106/174] 202010: 95563 features (19288 KiB)
[107/174] 202011: 98933 features (19976 KiB)
[108/174] 202012: 78424 features (15830 KiB)
[109/174] 202101: 88870 features (17941 KiB)
[110/174] 202102: 88266 features (17821 KiB)
[111/174] 202103: 94664 features (19109 KiB)
[112/174] 202104: 106979 features (21601 KiB)
[113/174] 202105: 109875 features (22182 KiB)
[114/174] 202106: 113192 features (22853 KiB)
[115/174] 202107: 106648 features (21527 KiB)
[116/174] 202108: 108446 features (21887 KiB)
[117/174] 202109: 107825 features (21760 KiB)
[118/174] 202110: 107094 features (21615 KiB)
[119/174] 202111: 103183 features (20823 KiB)
[120/174] 202112: 90574 features (18280 KiB)
[121/174] 202201: 112620 features (22731 KiB)
[122/174] 202202: 114592 features (23133 KiB)
[123/174] 202203: 129289 features (26097 KiB)
[124/174] 202204: 127585 features (25755 KiB)
[125/174] 202205: 131806 features (26606 KiB)
[126/174] 202206: 127434 features (25725 KiB)
[127/174] 202207: 117380 features (23693 KiB)
[128/174] 202208: 126235 features (25478 KiB)
[129/174] 202209: 118343 features (23883 KiB)
[130/174] 202210: 114364 features (23072 KiB)
[131/174] 202211: 111370 features (22468 KiB)
[132/174] 202212: 83871 features (16918 KiB)
[133/174] 202301: 126529 features (25531 KiB)
[134/174] 202302: 126906 features (25614 KiB)
[135/174] 202303: 146827 features (29635 KiB)
[136/174] 202304: 131005 features (26445 KiB)
[137/174] 202305: 138832 features (28025 KiB)
[138/174] 202306: 136264 features (27507 KiB)
[139/174] 202307: 125540 features (25342 KiB)
[140/174] 202308: 134728 features (27193 KiB)
[141/174] 202309: 122655 features (24755 KiB)
[142/174] 202310: 121342 features (24486 KiB)
[143/174] 202311: 110786 features (22351 KiB)
[144/174] 202312: 80390 features (16213 KiB)
[145/174] 202401: 115531 features (23304 KiB)
[146/174] 202402: 123161 features (24843 KiB)
[147/174] 202403: 127269 features (25677 KiB)
[148/174] 202404: 127628 features (25752 KiB)
[149/174] 202405: 127285 features (25682 KiB)
[150/174] 202406: 113656 features (22931 KiB)
[151/174] 202407: 122972 features (24809 KiB)
[152/174] 202408: 119726 features (24154 KiB)
[153/174] 202409: 106389 features (21458 KiB)
[154/174] 202410: 120506 features (24309 KiB)
[155/174] 202411: 93649 features (18875 KiB)
[156/174] 202412: 81998 features (16529 KiB)
[157/174] 202501: 118053 features (23808 KiB)
[158/174] 202502: 112817 features (22754 KiB)
[159/174] 202503: 125554 features (25323 KiB)
[160/174] 202504: 132496 features (26729 KiB)
[161/174] 202505: 121278 features (24460 KiB)
[162/174] 202506: 117197 features (23644 KiB)
[163/174] 202507: 122498 features (24706 KiB)
[164/174] 202508: 114304 features (23051 KiB)
[165/174] 202509: 112657 features (22710 KiB)
[166/174] 202510: 117230 features (23640 KiB)
[167/174] 202511: 101486 features (20460 KiB)
[168/174] 202512: 81245 features (16374 KiB)
[169/174] 202601: 105521 features (21277 KiB)
[170/174] 202602: 110312 features (22244 KiB)
[171/174] 202603: 126537 features (25519 KiB)
[172/174] 202604: 137840 features (27810 KiB)
[173/174] 202605: 127356 features (25691 KiB)
[174/174] 202606: 121970 features (24610 KiB)

Done. downloaded=173 skipped=1 failed=0
