type_code,type_name,type_class,parent_code,level,category_code,category_name
1,NÁSILNÁ TRESTNÁ ČINNOST,Násilná,,1,1,Násilná
2,vražda,Násilná,1,2,1,Násilná
3,loupež,Násilná,1,2,1,Násilná
4,vydírání,Násilná,1,2,1,Násilná
5,Výtržnictví (bez mravnostního charakteru),Násilná,1,2,1,Násilná
6,Nebezpečné vyhrožování,Násilná,1,2,1,Násilná
7,Rvačka,Násilná,1,2,1,Násilná
8,Úmyslné ublížení na zdraví,Násilná,1,2,1,Násilná
9,Útok proti výkonu pravomoci státního orgánu a úřední osoby,Násilná,1,2,1,Násilná
10,Omezování osobní svobody (bez mravnostního charakteru),Násilná,1,2,1,Násilná
11,Únos,Násilná,1,2,1,Násilná
12,Obchod s lidmi a lidskými orgány,Násilná,1,2,1,Násilná
13,POŽÁRY VÝBUCHY ŽIVELNÉ POHROMY,Požáry výbuchy,,1,13,Požáry výbuchy
14,Požár,Požáry výbuchy,13,2,13,Požáry výbuchy
15,Výbuch,Požáry výbuchy,13,2,13,Požáry výbuchy
16,Provozní havárie,Požáry výbuchy,13,2,13,Požáry výbuchy
17,Živelné pohromy nebezpečné zamoření,Požáry výbuchy,13,2,13,Požáry výbuchy
18,KRÁDEŽE VLOUPÁNÍM,Krádeže vloupáním,,1,18,Krádeže vloupáním
19,Byt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
20,Rodinný domek,Krádeže vloupáním,18,2,18,Krádeže vloupáním
21,Zemědělský objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
22,Prodejna,Krádeže vloupáním,18,2,18,Krádeže vloupáním
23,Restaurace a jiná pohostinská zařízení,Krádeže vloupáním,18,2,18,Krádeže vloupáním
24,Ubytovací objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
25,Rekreační objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
26,Kulturní objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
27,Sportovní objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
28,Úřad,Krádeže vloupáním,18,2,18,Krádeže vloupáním
29,Podnik výrobní objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
30,Zdravotnický objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
31,Školský objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
32,Církevní objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
33,Peněžní ústav,Krádeže vloupáním,18,2,18,Krádeže vloupáním
34,Jiný objekt,Krádeže vloupáním,18,2,18,Krádeže vloupáním
35,KRÁDEŽE,Krádeže,,1,35,Krádeže
36,krádeže SPZ,Krádeže,35,2,35,Krádeže
37,Krádeže motorových vozidel - dvoustopých,Krádeže,35,2,35,Krádeže
38,Krádeže motorových vozidel - jednostopých,Krádeže,35,2,35,Krádeže
39,Přívěsy,Krádeže,35,2,35,Krádeže
40,Ostatní dopravní prostředky,Krádeže,35,2,35,Krádeže
41,Krádeže součástek a věcí (nebo PHM) z motorových vozidel včetně vloupání,Krádeže,35,2,35,Krádeže
42,Krádeže jízdních kol,Krádeže,35,2,35,Krádeže
43,Krádeže na osobách,Krádeže,35,2,35,Krádeže
44,Krádeže prodejních hracích a telefonních automatů jako celku,Krádeže,35,2,35,Krádeže
45,Krádeže obchodního majetku zaměstnancem,Krádeže,35,2,35,Krádeže
46,Krádeže uměleckých děl,Krádeže,35,2,35,Krádeže
47,Krádeže starožitností,Krádeže,35,2,35,Krádeže
48,Krádeže věcí v objektech (bez vloupání),Krádeže,35,2,35,Krádeže
49,Krádeže věcí ve volném terénu,Krádeže,35,2,35,Krádeže
50,Krádeže přepravovaných zásilek,Krádeže,35,2,35,Krádeže
51,Pytláctví polní pych,Krádeže,35,2,35,Krádeže
52,Ostatní krádeže (bez vloupání),Krádeže,35,2,35,Krádeže
53,Krádeže se vztahem k železniční přepravě osob,Krádeže,35,2,35,Krádeže
54,PODVODY,Podvody,,1,54,Podvody
55,OSTATNÍ MAJETKOVÁ TRESTNÁ ČINNOST,Jiná majetková,,1,55,Jiná majetková
56,NEOPRÁVNĚNÉ PROVOZOVÁNÍ (VÝDĚLEČNÉ) ČINNOSTI,Jiná majetková,55,2,55,Jiná majetková
57,PORUŠOVÁNÍ PRAVIDEL HOSPODÁŘSKÉ SOUTĚŽE A KÁZNĚ,Jiná majetková,55,2,55,Jiná majetková
58,TRESTNÁ ČINNOST PROTI MĚNĚ,Jiná majetková,55,2,55,Jiná majetková
59,DAŇOVÁ TRESTNÁ ČINNOST,Jiná majetková,55,2,55,Jiná majetková
60,CELNÍ TRESTNÁ ČINNOST,Jiná majetková,55,2,55,Jiná majetková
61,PORUŠOVÁNÍ NEHMOTNÝCH PRÁV A NEKALÁ SOUTĚŽ,Jiná majetková,55,2,55,Jiná majetková
62,TRESTNÉ ČINY PROTI VEŘEJNÉMU ZÁJMU,Jiná majetková,55,2,55,Jiná majetková
63,OBECNĚ NEBEZPEČNÁ TRESTNÁ ČINNOST,Obecně nebezpečná,,1,63,Obecně nebezpečná
64,Nelegální nakládání s odpady,Obecně nebezpečná,63,2,63,Obecně nebezpečná
65,Nelegální nakládání s chráněnými druhy živočichů nebo rostlin,Obecně nebezpečná,63,2,63,Obecně nebezpečná
66,Ohrožení životního prostředí,Obecně nebezpečná,63,2,63,Obecně nebezpečná
67,Šíření poplašné zprávy (včetně přestupku),Obecně nebezpečná,63,2,63,Obecně nebezpečná
68,Ohrožování zdraví závadovým zbožím,Obecně nebezpečná,63,2,63,Obecně nebezpečná
69,Nedovolené ozbrojování,Obecně nebezpečná,63,2,63,Obecně nebezpečná
70,Ostatní,Obecně nebezpečná,63,2,63,Obecně nebezpečná
71,Obecné ohrožení,Obecně nebezpečná,63,2,63,Obecně nebezpečná
72,Porušování domovní svobody,Obecně nebezpečná,63,2,63,Obecně nebezpečná
73,Oslňování laserem,Obecně nebezpečná,63,2,63,Obecně nebezpečná
