type_group_key,type_set_label,n_types,primary_type,incident_count
1,74|97|120,3,120,10149013
2,77|97,2,77,1589004
3,74|97|124,3,124,1069222
4,76|97|111,3,111,852942
5,78|97|132,3,132,467222
6,74|97|120|126,4,126,373009
7,78|97|131,3,131,343693
8,74|97|122,3,122,271584
9,55|102,2,102,202851
10,76|97|107,3,107,174445
11,74|97|120|124,4,124,148998
12,75|97|112|113,4,113,138656
13,54,1,54,133547
14,74|97|120|122,4,122,128158
15,55|62,2,62,110230
16,75|97|118,3,118,101595
17,80|83,2,83,94816
18,75|97|119,3,119,92187
19,35|48,2,48,79933
20,76|77|97|111,4,111,71500
21,35|41,2,41,66885
22,35|43,2,43,61044
23,74|97|126,3,126,58986
24,35|43|55|102,4,43,41731
25,35|52,2,52,41193
26,18|34,2,34,40145
27,79,1,79,34749
28,35|41|55|102,4,41,33193
29,80|81,2,81,32274
30,35|101,2,101,25222
31,1|5|8,3,8,23732
32,55|58,2,58,23687
33,76|97|107|111,4,107,23061
34,35|37,2,37,22915
35,74|97|121,3,121,21315
36,78|97|127,3,127,20951
37,63|72,2,72,20602
38,1|8,2,8,20465
39,54|55|102,3,54,20283
40,63|70,2,70,20226
41,74|97|120|122|124,5,122,19728
42,74|75|97|118|122,5,118,18812
43,1|5,2,5,18636
44,75|97|112|114,4,114,17292
45,35|42,2,42,17291
46,74|75|97|112|113|120,6,113,16283
47,55|59,2,59,15453
48,54|55|58,3,58,15034
49,1|6,2,6,15019
50,18|20|63|72,4,20,13968
51,18|19|63|72,4,19,13837
52,18|34|63|72,4,34,13792
53,79|80|83,3,79,13681
54,18|35|41|100,4,100,13003
55,76|97|110,3,110,12104
56,35|49,2,49,11544
57,1|3,2,3,11063
58,74|97|120|123,4,123,10934
59,18|34|55|102,4,34,10525
60,18|22,2,22,10488
61,75|78|97|119|132,5,119,9822
62,74|75|97|118|120,5,118,9761
63,74|97|122|124,4,122,9639
64,74|78|97|120|132,5,132,9210
65,18|25|63|72,4,25,9025
66,95|96,2,95,8607
67,55|95|96|102,4,95,8572
68,74|97,2,74,8545
69,1|4,2,4,8245
70,76|78|97|111|132,5,132,8224
71,35|43|55|58,4,58,8001
72,74|75|97|112|113|122,6,113,7956
73,75|97|115|117,4,117,7255
74,74|78|97|122|132,5,122,7214
75,18|29,2,29,7204
76,18|35|41|55|100|102,6,100,6872
77,55|62|80|83,4,83,6429
78,35|48|52,3,52,6360
79,1|98,2,98,6285
80,18|20,2,20,6014
81,18|23,2,23,5927
82,35|52|55|102,4,52,5903
83,18|22|55|102,4,22,5882
84,35|55|101|102,4,101,5875
85,75|97|115|116,4,116,5697
86,13|14,2,14,5690
87,35|48|63|72,4,48,5218
88,18|25,2,25,4916
89,75|97,2,75,4803
90,18|20|55|63|72|102,6,20,4775
91,74|75|97|118|120|122,6,118,4733
92,74|75|97|112|113|124,6,113,4445
93,76|78|97|107|132,5,107,4251
94,76|77|97|107,4,107,4216
95,18|21,2,21,4200
96,35|48|55|102,4,48,4174
97,75|97|112|113|118,5,118,4124
98,1|5|55|102,4,5,4024
99,18|19,2,19,3965
100,55|57,2,57,3821
101,74|97|125,3,125,3732
102,1|9,2,9,3605
103,35|42|63|72,4,42,3550
104,74|78|97|120|122|132,6,122,3524
105,74|75|97|112|114|120,6,114,3511
106,18|34|35|42,4,42,3298
107,18|34|35|42|63|72,6,42,3239
108,55|63|72|102,4,72,3204
109,35|38,2,38,3186
110,63|69,2,69,3144
111,18|19|55|63|72|102,6,19,3143
112,55|61,2,61,3137
113,74|75|97|112|113|120|122,7,113,3101
114,77|78|97|132,4,132,3066
115,78|97|130,3,130,2952
116,78|97|131|132,4,131,2825
117,54|63|70,3,70,2816
118,1|5|6,3,6,2770
119,18|35|42|100,4,100,2475
120,35|63|72|101,4,101,2436
121,18|29|55|102,4,29,2425
122,18|23|55|102,4,23,2371
123,75|76|97|107|119,5,119,2351
124,18|35|42|63|72|100,6,100,2341
125,76|77|97|107|111,5,107,2306
126,18|34|35|52,4,52,2270
127,74|97|120|121,4,121,2254
128,35|48|77|97,4,48,2195
129,35|37|55|102,4,37,2119
130,76|97|108,3,108,2090
131,18|20|55|102,4,20,2047
132,18|24,2,24,1985
133,35|40,2,40,1952
134,18|24|63|72,4,24,1923
135,74|78|97|124|132,5,132,1881
136,35|41|55|58,4,58,1857
137,18|27,2,27,1787
138,54|55|62,3,62,1771
139,55|56,2,56,1720
140,74|97|120|122|126,5,126,1719
141,18|31,2,31,1707
142,35|43|53,3,53,1665
143,55|77|97|102,4,102,1665
144,18|25|55|63|72|102,6,25,1640
145,18|34|35|41,4,34,1633
146,35|52|55|58,4,58,1633
147,74|76|97|111|120,5,111,1577
148,35|43|48,3,48,1567
149,18|100,2,100,1506
150,74|75|97|112|114|122,6,114,1502
151,74|75|97|112|113|118|122,7,118,1495
152,63|71,2,71,1492
153,75|97|115,3,115,1458
154,35|42|48,3,42,1443
155,1|6|8,3,6,1428
156,13|14|55|102,4,14,1400
157,35|37|55|62,4,37,1387
158,35|50,2,50,1378
159,18|34|35|101,4,101,1371
160,35|55|58|101,4,101,1369
161,75|78|97|115|116|132,6,116,1356
162,74|97|122|126,4,126,1351
163,35|39,2,39,1329
164,35|43|52,3,52,1325
165,74|79|97|120,4,79,1320
166,18|34|55|63|72|102,6,34,1295
167,63|67,2,67,1274
168,74|76|97|107|120,5,107,1271
169,55|62|80|81,4,81,1267
170,35|52|63|72,4,52,1262
171,18|19|55|102,4,19,1252
172,35|43|53|55|102,5,53,1251
173,55|62|79,3,79,1250
174,18|34|35|48,4,34,1240
175,54|77|97,3,54,1224
176,1|5|9,3,9,1210
177,35|49|55|102,4,49,1172
178,1|2,2,2,1151
179,74|77|97|120,4,77,1126
180,1|3|55|102,4,3,1123
181,63|70|79,3,70,1114
182,35|48|55|62,4,48,1113
183,35|45,2,45,1111
184,74|97|120|125,4,125,1108
185,18|30,2,30,1102
186,1|8|63|72,4,8,1098
187,35|37|41,3,37,1057
188,18|21|63|72,4,21,1050
189,75|80|83|97|118,5,83,1034
190,35|52|77|97,4,52,1001
191,1|4|55|102,4,4,984
192,35|42|49,3,49,976
193,1|6|63|72,4,6,974
194,35|49|52,3,49,924
195,75|97|112|114|118,5,114,917
196,55|63|70|102,4,70,902
197,1|10,2,10,899
